Update,Date,Impact
"November 2021 Core Update",2021-11-17,30
"November 2021 Spam Update",2021-11-03,20
"Unnamed Update",2021-10-02,20
"Page Title Rewrites",2021-08-16,20
"July 2021 Link Spam Update",2021-07-28,20
"July 2021 Core Update",2021-07-01,20
"Page Experience Update",2021-06-25,20
"Spam Updates",2021-06-23,20
"June 2021 Core Update",2021-06-02,20
"Product Reviews Update",2021-04-08,20
"Featured Snippet Recovery",2021-03-12,20
"Featured Snippet Drop",2021-02-19,20
"Passage Indexing (US/English)",2021-02-10,20
"Unnamed Update",2020-12-17,20
"December 2020 Core Update",2020-12-03,20
"Indexing Bug, Pt. 2",2020-10-12,20
"Indexing Bug, Pt. 1",2020-09-29,20
"Unnamed Update",2020-08-15,20
"Google Glitch",2020-08-10,20
"Google Bug Fix",2020-06-22,20
"May 2020 Core Update",2020-05-04,20
"COVID-19 Pandemic",2020-03-11,20
"Unnamed Update",2020-02-07,20
"Featured Snippet De-duping",2020-01-22,20
"January 2020 Core Update",2020-01-13,20
"International BERT Roll-out",2019-12-09,30
"BERT Update",2019-10-22,40
"Unnamed Update",2019-10-02,20
"September 2019 Core Update",2019-09-24,20
"Maverick Update",2019-07-12,20
"Site Diversity Update",2019-06-06,20
"June 2019 Core Update",2019-06-03,20
"Indexing Bugs",2019-05-23,20
"Deindexing Bug",2019-04-05,20
"March 2019 Core Update",2019-03-12,20
"19-result SERPs",2019-03-01,20
"Unnamed Update",2019-02-06,20
"Unnamed Update",2018-11-29,20
"Unnamed Update",2018-10-15,20
"Unnamed Update",2018-09-10,20
"Medic Core Update",2018-08-01,30
"Chrome Security Warnings (Full Site)",2018-07-24,20
"Unnamed Update",2018-07-21,20
"Mobile Speed Update",2018-07-09,20
"Video Carousels",2018-06-14,20
"Unnamed Update",2018-05-23,20
"Snippet Length Drop",2018-05-13,20
"Unnamed Core Update",2018-04-17,20
"Mobile-First Index Roll-out",2018-03-26,30
"Zero-result SERP Test",2018-03-14,20
"Brackets Core Update",2018-03-08,20
"Unnamed Update",2018-02-20,20
"Maccabees Update",2017-12-14,20
"Snippet Length Increase",2017-11-30,20
"Unnamed Update",2017-11-14,20
"Featured Snippet Drop",2017-10-27,20
"Chrome Security Warnings (Forms)",2017-10-17,20
"Unnamed Update",2017-09-27,20
"Google Jobs",2017-06-20,20
"Unnamed Update",2017-05-17,20
"Google Tops 50% HTTPS",2017-04-16,20
"Fred (Unconfirmed)",2017-03-08,40
"Unnamed Update",2017-02-06,20
"Unnamed Update",2017-02-01,20
"Intrusive Interstitial Penalty",2017-01-10,20
"Unnamed Update",2016-12-14,20
"Unnamed Update",2016-11-10,20
"Penguin 4.0, Phase 2",2016-10-06,20
"Penguin 4.0, Phase 1",2016-09-27,20
"Penguin 4.0 Announcement",2016-09-23,20
"Image/Universal Drop",2016-09-13,20
Possum,2016-09-01,20
"Mobile-friendly 2",2016-05-12,30
"Unnamed Update",2016-05-10,20
"AdWords Shake-up",2016-02-23,20
"Unnamed Update",2016-01-08,20
RankBrain,2015-10-26,40
"Panda 4.2 (#28)",2015-07-17,20
"The Quality Update",2015-05-03,40
"Mobile Update AKA ""Mobilegeddon""",2015-04-22,20
"Unnamed Update",2015-02-04,20
"Pigeon Expands (UK, CA, AU)",2014-12-22,20
"Penguin Everflux",2014-12-10,20
"Pirate 2.0",2014-10-21,20
"Penguin 3.0",2014-10-17,20
"In The News Box",2014-10-01,20
"Panda 4.1 (#27)",2014-09-23,20
"Authorship Removed",2014-08-28,20
"HTTPS/SSL Update",2014-08-06,20
Pigeon,2014-07-24,20
"Authorship Photo Drop",2014-06-28,20
"Payday Loan 3.0",2014-06-12,20
"Panda 4.0 (#26)",2014-05-19,20
"Payday Loan 2.0",2014-05-16,20
"Unnamed Update",2014-03-24,20
"Page Layout #3",2014-02-06,20
"Authorship Shake-up",2013-12-19,20
"Unnamed Update",2013-12-17,20
"Unnamed Update",2013-11-14,20
"Penguin 2.1 (#5)",2013-10-04,20
Hummingbird,2013-08-20,70
"In-depth Articles",2013-08-06,20
"Unnamed Update",2013-07-26,20
"Knowledge Graph Expansion",2013-07-19,20
"Panda Recovery",2013-07-18,20
"Multi-Week Update",2013-06-27,20
"Payday Loan Update",2013-06-11,20
"Panda Dance",2013-06-11,20
"Penguin 2.0 (#4)",2013-05-22,20
"Domain Crowding",2013-05-21,20
Phantom,2013-05-09,30
"Panda #25",2013-03-14,20
"Panda #24",2013-01-22,20
"Panda #23",2012-12-21,20
"Knowledge Graph Expansion",2012-12-04,20
"Panda #22",2012-11-21,20
"Panda #21",2012-11-05,20
"Page Layout #2",2012-10-09,20
"Penguin #3",2012-10-05,20
"August/September 65-Pack",2012-10-04,20
"Panda #20",2012-09-27,20
"Exact-Match Domain (EMD) Update",2012-09-27,20
"Panda 3.9.2 (#19)",2012-09-18,20
"Panda 3.9.1 (#18)",2012-08-20,20
"7-Result SERPs",2012-08-14,20
"June/July 86-Pack",2012-08-10,20
"DMCA Penalty (""Pirate"")",2012-08-10,20
"Panda 3.9 (#17)",2012-07-24,20
"Link Warnings",2012-07-19,20
"Panda 3.8 (#16)",2012-06-25,20
"Panda 3.7 (#15)",2012-06-08,20
"May 39-Pack",2012-06-07,20
"Penguin 1.1 (#2)",2012-05-25,20
"Knowledge Graph",2012-05-16,40
"April 52-Pack",2012-05-04,20
"Panda 3.6 (#14)",2012-04-27,20
Penguin,2012-04-24,80
"Panda 3.5 (#13)",2012-04-19,20
"Parked Domain Bug",2012-04-16,20
"March 50-Pack",2012-04-03,20
"Panda 3.4 (#12)",2012-03-23,20
"Search Quality Video",2012-03-12,20
Venice,2012-02-27,50
"February 40-Pack (2)",2012-02-27,20
"Panda 3.3 (#11)",2012-02-27,20
"February 17-Pack",2012-02-03,20
"Ads Above The Fold",2012-01-19,20
"Panda 3.2 (#10)",2012-01-18,20
"Search + Your World",2012-01-10,20
"January 30-Pack",2012-01-05,20
"December 10-Pack",2011-12-01,20
"Panda 3.1 (#9)",2011-11-18,20
"10-Pack of Updates",2011-11-14,20
"Freshness Update",2011-11-03,20
"Query Encryption",2011-10-18,20
"Panda ""Flux"" (#8)",2011-10-05,20
"Panda 2.5 (#7)",2011-09-28,20
"516 Algo Updates",2011-09-21,20
"Pagination Elements",2011-09-15,20
"Expanded Sitelinks",2011-08-16,20
"Panda 2.4 (#6)",2011-08-12,20
"Panda 2.3 (#5)",2011-07-23,20
Google+,2011-06-28,20
"Panda 2.2 (#4)",2011-06-21,20
Schema.org,2011-06-02,20
"Panda 2.1 (#3)",2011-05-09,20
"Panda 2.0 (#2)",2011-04-11,20
"The +1 Button",2011-03-30,20
Panda/Farmer,2011-02-23,80
"Attribution Update",2011-01-28,20
"Overstock.com Penalty",2011-01-01,20
"Negative Reviews",2010-12-01,20
"Social Signals",2010-12-01,20
"Instant Previews",2010-11-01,20
"Google Instant",2010-09-01,20
"Brand Update",2010-08-01,80
"Caffeine (Rollout)",2010-06-01,20
"May Day",2010-05-01,50
"Google Places",2010-04-01,20
"Real-time Search",2009-12-01,20
"Caffeine (Preview)",2009-08-01,50
Vince,2009-02-01,80
"Rel-canonical Tag",2009-02-01,20
"Google Suggest",2008-08-01,30
Dewey,2008-04-01,20
Buffy,2007-06-01,20
"Universal Search",2007-05-01,30
"False Alarm",2006-12-01,20
"Supplemental Update",2006-11-01,30
"Big Daddy",2005-12-01,20
"Google Local/Maps",2005-10-01,20
Jagger,2005-10-01,20
Gilligan,2005-09-01,20
"XML Sitemaps",2005-06-01,20
"Personalized Search",2005-06-01,20
Bourbon,2005-05-01,20
Allegra,2005-02-01,20
Nofollow,2005-01-01,20
"Google IPO",2004-08-01,20
Brandy,2004-02-01,20
Austin,2004-01-01,50
Florida,2003-11-01,50
"Supplemental Index",2003-09-01,20
Fritz,2003-07-01,20
Esmeralda,2003-06-01,20
Dominic,2003-05-01,20
Cassandra,2003-04-01,20
Boston,2003-02-01,20
"1st Documented Update",2002-09-01,20
"Google Toolbar",2000-12-01,20
